Date,Close/Last,Volume,Open,High,Low,capital,BUY_MIN,BUY_MAX,SELL_MIN,SELL_MAX,TRANSACTION_FEE,TRANSACTION_SESSION,TRANSACTION_PENALTY,TOTAL_ASSETS,WIN_THRESHOLD
04/19/2024,$605.17,1609082,$609.13,$611.19,$598.01,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/26/2018,$202.02,1398695,$200.97,$205.31,$199.55,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/28/2022,$480.50,2085040,$460.54,$481.705,$458.20,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/10/2015,$104.36,862603,$104.94,$104.94,$103.60,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/06/2021,$500.97,1181275,$501.86,$502.69,$498.225,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/06/2019,$253.42,1430590,$253.25,$255.33,$251.99,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/04/2015,$101.29,868653,$100.58,$101.68,$100.35,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
12/08/2017,$155.23,1578814,$156.05,$156.39,$154.15,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/03/2020,$324.73,1114858,$319.91,$326.94,$317.83,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/22/2023,$508.57,1233830,$504.00,$512.135,$500.66,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/03/2017,$141.85,1244900,$141.77,$142.30,$141.31,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/09/2019,$202.66,1643215,$204.06,$205.00,$200.34,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/08/2015,$102.75,1440529,$101.29,$103.10,$100.79,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/12/2024,$611.80,802389,$612.00,$613.99,$606.08,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/31/2022,$427.50,1038535,$427.56,$430.80,$423.805,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/27/2019,$255.38,957211,$257.72,$258.26,$253.13,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/25/2024,$609.27,1000674,$610.00,$617.22,$607.83,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/22/2016,$102.15,1165112,$101.67,$102.52,$101.29,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/04/2016,$99.89,1189701,$101.03,$101.25,$99.60,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/05/2017,$141.54,1370288,$141.07,$142.45,$140.8502,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/09/2023,$419.74,1098616,$430.64,$431.99,$418.2851,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/11/2020,$261.12,1848676,$263.92,$266.285,$256.08,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/19/2018,$199.24,3262744,$210.05,$211.15,$196.27,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/03/2018,$205.15,936070,$206.79,$206.99,$203.92,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/07/2022,$435.29,1421921,$421.29,$438.72,$419.01,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/07/2016,$108.45,1282542,$108.30,$108.95,$108.24,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/25/2024,$630.47,1272120,$629.17,$630.55,$624.39,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/30/2019,$279.62,767097,$279.48,$281.84,$278.37,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/26/2016,$113.62,782855,$114.13,$114.62,$113.20,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/06/2019,$224.58,894686,$224.15,$224.8525,$221.08,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/19/2021,$421.20,1321164,$409.52,$421.745,$408.72,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/04/2018,$162.01,1694998,$159.46,$163.82,$159.46,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/08/2023,$416.67,1448847,$408.16,$418.175,$408.00,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/03/2017,$126.45,1500606,$125.38,$126.67,$124.71,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/06/2020,$312.23,716744,$310.36,$312.42,$307.865,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/05/2017,$142.65,1472544,$142.62,$143.46,$142.19,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/16/2016,$110.86,2271029,$110.83,$111.02,$109.96,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/18/2022,$408.65,1704579,$415.85,$420.00,$401.51,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/23/2019,$269.00,829943,$268.39,$270.99,$268.21,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/18/2021,$564.56,1321811,$552.76,$564.81,$548.27,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
